Date,Primary Delay Minutes,Reactionary Delay Minutes,Delay Minutes,Actual Mileage,Primary Delay per 100 miles,Footfall,Count of Trains/Timing Points - WTT,Planned,On Time - WTT,Within 3 - WTT,PPM,On Time WTT%,PPM%
21/12/2017,10743.00,42882.00,53625.00,920727.00,1.17,2628632.00,353016.00,22369.00,194379.00,273194.00,18784.00,0.55,0.84
22/12/2017,14038.00,38543.00,52581.00,916744.00,1.53,2511990.00,344795.00,22005.00,185670.00,263036.00,18370.00,0.54,0.83
27/12/2017,19365.00,40827.00,60192.00,701771.00,2.76,1585934.00,265006.00,18177.00,140010.00,190345.00,14086.00,0.53,0.77
28/12/2017,11787.00,30193.00,41980.00,804778.00,1.46,1789909.00,297859.00,19113.00,180251.00,240165.00,16773.00,0.61,0.88
29/12/2017,13897.00,32547.00,46444.00,805870.00,1.72,1719663.00,298589.00,19135.00,186339.00,243084.00,16745.00,0.62,0.88
02/01/2018,15584.00,40432.00,56016.00,872185.00,1.79,2087462.00,333353.00,21051.00,191242.00,261340.00,17808.00,0.57,0.85
03/01/2018,13714.00,40179.00,53893.00,925177.00,1.48,2169755.00,354179.00,22487.00,202108.00,277233.00,18932.00,0.57,0.84
04/01/2018,13073.00,41222.00,54295.00,931022.00,1.40,2265505.00,356938.00,22489.00,202698.00,278817.00,18962.00,0.57,0.84
05/01/2018,11246.00,28192.00,39438.00,938622.00,1.20,2273275.00,359773.00,22512.00,226555.00,301296.00,20191.00,0.63,0.90
08/01/2018,13825.00,38411.00,52236.00,824793.00,1.68,2232545.00,311140.00,20028.00,177316.00,241844.00,16570.00,0.57,0.83
09/01/2018,11210.00,32207.00,43417.00,918619.00,1.22,2394374.00,353790.00,22465.00,209050.00,285697.00,19650.00,0.59,0.87
10/01/2018,12058.00,27011.00,39069.00,830197.00,1.45,2395467.00,316178.00,20135.00,190976.00,256570.00,17847.00,0.60,0.89
11/01/2018,10762.00,32271.00,43033.00,928059.00,1.16,2551718.00,354379.00,22475.00,211456.00,286816.00,19515.00,0.60,0.87
12/01/2018,10833.00,27123.00,37956.00,825165.00,1.31,2453995.00,311077.00,20255.00,191933.00,256254.00,17535.00,0.62,0.87
15/01/2018,10139.00,35625.00,45764.00,932483.00,1.09,2363452.00,357720.00,22552.00,210615.00,286397.00,19497.00,0.59,0.86
16/01/2018,12896.00,37272.00,50168.00,934239.00,1.38,2506839.00,358736.00,22621.00,211539.00,286465.00,19530.00,0.59,0.86
17/01/2018,12902.00,34475.00,47377.00,926742.00,1.39,2564154.00,358213.00,22605.00,210675.00,285548.00,19871.00,0.59,0.88
18/01/2018,18606.00,54350.00,72956.00,908880.00,2.05,2581680.00,349346.00,22603.00,183501.00,255724.00,17869.00,0.53,0.79
19/01/2018,12078.00,31002.00,43080.00,934213.00,1.29,2657760.00,358410.00,22662.00,210098.00,289037.00,19858.00,0.59,0.88
22/01/2018,10242.00,27391.00,37633.00,933875.00,1.10,2395750.00,358578.00,22580.00,225892.00,300112.00,20177.00,0.63,0.89
23/01/2018,10614.00,32003.00,42617.00,935073.00,1.14,2485167.00,357424.00,22608.00,216306.00,292231.00,19635.00,0.61,0.87
24/01/2018,15790.00,40730.00,56520.00,919388.00,1.72,2569242.00,354805.00,22610.00,192456.00,271150.00,18824.00,0.54,0.83
25/01/2018,9266.00,25936.00,35202.00,930054.00,1.00,2684619.00,358263.00,22479.00,226713.00,302602.00,20341.00,0.63,0.90
26/01/2018,10004.00,30826.00,40830.00,938693.00,1.07,2744533.00,361502.00,22667.00,222472.00,298764.00,20266.00,0.62,0.89
29/01/2018,11230.00,35261.00,46491.00,928813.00,1.21,2431190.00,357296.00,22601.00,211118.00,287333.00,19742.00,0.59,0.87
30/01/2018,11031.00,35930.00,46961.00,939047.00,1.17,2522704.00,360686.00,22648.00,213002.00,289632.00,19694.00,0.59,0.87
31/01/2018,10409.00,28409.00,38818.00,932088.00,1.12,2635026.00,359905.00,22665.00,218645.00,297684.00,20292.00,0.61,0.90
01/02/2018,10828.00,31920.00,42748.00,935345.00,1.16,2669655.00,358875.00,22619.00,217882.00,294492.00,19954.00,0.61,0.88
02/02/2018,10528.00,24751.00,35279.00,940779.00,1.12,2685465.00,361918.00,22692.00,229028.00,307236.00,20700.00,0.63,0.91
05/02/2018,11587.00,34974.00,46561.00,925879.00,1.25,2458582.00,355815.00,22607.00,216500.00,290439.00,19753.00,0.61,0.87
06/02/2018,10260.00,30551.00,40811.00,936201.00,1.10,2547231.00,360111.00,22643.00,221583.00,297141.00,20289.00,0.62,0.90
07/02/2018,12355.00,34399.00,46754.00,928922.00,1.33,2619890.00,357584.00,22659.00,214140.00,289497.00,19691.00,0.60,0.87
08/02/2018,14043.00,39068.00,53111.00,928428.00,1.51,2676933.00,356192.00,22648.00,209396.00,283614.00,19260.00,0.59,0.85
09/02/2018,10028.00,24906.00,34934.00,938759.00,1.07,2727556.00,361569.00,22701.00,226228.00,305163.00,20684.00,0.63,0.91
12/02/2018,12405.00,34453.00,46858.00,925239.00,1.34,2567521.00,355046.00,22553.00,210761.00,283927.00,19549.00,0.59,0.87
13/02/2018,13217.00,33972.00,47189.00,927310.00,1.43,2647174.00,355552.00,22600.00,214057.00,288746.00,19502.00,0.60,0.86
14/02/2018,12478.00,32683.00,45161.00,928927.00,1.34,2689987.00,357024.00,22612.00,206245.00,285782.00,19650.00,0.58,0.87
15/02/2018,14347.00,41342.00,55689.00,909998.00,1.58,2777610.00,352409.00,22614.00,210528.00,285085.00,19350.00,0.60,0.86
16/02/2018,13542.00,35041.00,48583.00,928076.00,1.46,2769833.00,356719.00,22652.00,209675.00,285432.00,19711.00,0.59,0.87
19/02/2018,10306.00,30409.00,40715.00,926839.00,1.11,2487330.00,357387.00,22630.00,218625.00,295112.00,20189.00,0.61,0.89
20/02/2018,14411.00,32322.00,46733.00,922853.00,1.56,2623607.00,355590.00,22659.00,216734.00,290921.00,19718.00,0.61,0.87
21/02/2018,9973.00,25373.00,35346.00,937605.00,1.06,2691711.00,360866.00,22662.00,230481.00,303705.00,20589.00,0.64,0.91
22/02/2018,9178.00,23765.00,32943.00,940172.00,0.98,2772043.00,361231.00,22664.00,235940.00,310071.00,20753.00,0.65,0.92
23/02/2018,10761.00,34600.00,45361.00,937870.00,1.15,2780127.00,360037.00,22710.00,214130.00,290041.00,19884.00,0.59,0.88
26/02/2018,13779.00,40386.00,54165.00,921794.00,1.49,2500512.00,353580.00,22475.00,202847.00,277782.00,19013.00,0.57,0.85
27/02/2018,18904.00,50715.00,69619.00,861047.00,2.20,2297150.00,327361.00,20938.00,171412.00,238836.00,16360.00,0.52,0.78
28/02/2018,64701.00,100120.00,164821.00,743404.00,8.70,2179629.00,284970.00,21750.00,99468.00,148529.00,10534.00,0.35,0.48
01/03/2018,54887.00,88879.00,143766.00,586392.00,9.36,1814389.00,235093.00,18007.00,82099.00,122780.00,8634.00,0.35,0.48
02/03/2018,45125.00,65642.00,110767.00,474177.00,9.52,1721659.00,194043.00,16367.00,74335.00,107982.00,7665.00,0.38,0.47
05/03/2018,14981.00,41552.00,56533.00,908516.00,1.65,2461209.00,350259.00,22224.00,192798.00,265056.00,18491.00,0.55,0.83
06/03/2018,13416.00,37018.00,50434.00,916931.00,1.46,2584879.00,354056.00,22498.00,207133.00,280367.00,19281.00,0.59,0.86
07/03/2018,13945.00,41026.00,54971.00,923556.00,1.51,2688511.00,355156.00,22597.00,202475.00,277367.00,19010.00,0.57,0.84
08/03/2018,12433.00,34871.00,47304.00,931560.00,1.33,2738027.00,357504.00,22594.00,208524.00,283935.00,19609.00,0.58,0.87
09/03/2018,14125.00,33472.00,47597.00,925143.00,1.53,2763634.00,356815.00,22628.00,202870.00,279533.00,19476.00,0.57,0.86
12/03/2018,12044.00,35709.00,47753.00,920835.00,1.31,2503154.00,354298.00,22423.00,204965.00,280870.00,19378.00,0.58,0.86
13/03/2018,12687.00,29906.00,42593.00,929609.00,1.36,2595635.00,358584.00,22586.00,224664.00,299582.00,20279.00,0.63,0.90
14/03/2018,10368.00,31556.00,41924.00,927544.00,1.12,2684483.00,357523.00,22560.00,222597.00,297177.00,20069.00,0.62,0.89
15/03/2018,12360.00,32127.00,44487.00,920395.00,1.34,2703275.00,355312.00,22556.00,212403.00,287936.00,19910.00,0.60,0.88
16/03/2018,12111.00,32574.00,44685.00,929518.00,1.30,2727721.00,357795.00,22578.00,213479.00,288410.00,19791.00,0.60,0.88
19/03/2018,14717.00,45421.00,60138.00,911700.00,1.61,2472745.00,350470.00,22492.00,193928.00,267489.00,18577.00,0.55,0.83
20/03/2018,11331.00,31755.00,43086.00,930590.00,1.22,2603592.00,357872.00,22544.00,215571.00,291563.00,19763.00,0.60,0.88
21/03/2018,12720.00,33640.00,46360.00,926349.00,1.37,2680486.00,356898.00,22587.00,210647.00,285804.00,19623.00,0.59,0.87
22/03/2018,11371.00,30905.00,42276.00,930953.00,1.22,2751410.00,358501.00,22595.00,220674.00,293702.00,19884.00,0.62,0.88
23/03/2018,13871.00,34285.00,48156.00,932461.00,1.49,2771824.00,358719.00,22699.00,214485.00,289321.00,19815.00,0.60,0.87
26/03/2018,11444.00,32830.00,44274.00,873842.00,1.31,2472227.00,334085.00,21256.00,204890.00,273482.00,18467.00,0.61,0.87
27/03/2018,14143.00,43208.00,57351.00,918866.00,1.54,2592661.00,352282.00,22637.00,204175.00,277812.00,18967.00,0.58,0.84
28/03/2018,9869.00,30982.00,40851.00,933236.00,1.06,2658772.00,357307.00,22625.00,212953.00,289836.00,19781.00,0.60,0.87
29/03/2018,11060.00,27543.00,38603.00,879374.00,1.26,2695756.00,335985.00,21310.00,199589.00,273724.00,18779.00,0.59,0.88
03/04/2018,12132.00,29362.00,41494.00,914353.00,1.33,2392504.00,352133.00,22549.00,222483.00,292827.00,19934.00,0.63,0.88
04/04/2018,12332.00,28331.00,40663.00,926584.00,1.33,2501086.00,356194.00,22570.00,220856.00,295534.00,19997.00,0.62,0.89
05/04/2018,13969.00,38801.00,52770.00,928408.00,1.50,2637618.00,355385.00,22512.00,216553.00,290407.00,19670.00,0.61,0.87
06/04/2018,13712.00,26892.00,40604.00,934368.00,1.47,2572519.00,359482.00,22585.00,230384.00,303086.00,20428.00,0.64,0.90
09/04/2018,10646.00,28220.00,38866.00,931962.00,1.14,2475808.00,358314.00,22583.00,220007.00,296059.00,20202.00,0.61,0.89
10/04/2018,12292.00,31049.00,43341.00,932750.00,1.32,2584856.00,358373.00,22624.00,224631.00,297351.00,20132.00,0.63,0.89
11/04/2018,10432.00,26121.00,36553.00,933064.00,1.12,2631019.00,358638.00,22630.00,228146.00,302072.00,20395.00,0.64,0.90
12/04/2018,8527.00,22622.00,31149.00,937154.00,0.91,2698247.00,359589.00,22649.00,236283.00,309493.00,20789.00,0.66,0.92
13/04/2018,9627.00,23728.00,33355.00,937347.00,1.03,2632595.00,359798.00,22705.00,236405.00,307721.00,20756.00,0.66,0.91
16/04/2018,13384.00,30236.00,43620.00,926682.00,1.44,2447266.00,354023.00,22527.00,225984.00,295122.00,19984.00,0.64,0.89
17/04/2018,11205.00,26623.00,37828.00,933096.00,1.20,2555089.00,358420.00,22649.00,229875.00,302684.00,20465.00,0.64,0.90
18/04/2018,18049.00,52008.00,70057.00,926017.00,1.95,2677729.00,353998.00,22642.00,196897.00,268230.00,18526.00,0.56,0.82
19/04/2018,27607.00,73363.00,100970.00,908666.00,3.04,2753474.00,347948.00,22640.00,177926.00,244222.00,17020.00,0.51,0.75
20/04/2018,18376.00,43390.00,61766.00,926487.00,1.98,2689695.00,355520.00,22691.00,194649.00,269146.00,18712.00,0.55,0.82
23/04/2018,11940.00,31712.00,43652.00,929195.00,1.28,2493567.00,356723.00,22572.00,221802.00,293727.00,20074.00,0.62,0.89
24/04/2018,10093.00,27382.00,37475.00,932256.00,1.08,2587117.00,358166.00,22623.00,226086.00,299688.00,20390.00,0.63,0.90
25/04/2018,10665.00,26416.00,37081.00,930150.00,1.15,2659751.00,357333.00,22627.00,226901.00,300633.00,20563.00,0.64,0.91
26/04/2018,10016.00,28499.00,38515.00,932353.00,1.07,2774179.00,357883.00,22625.00,230001.00,302208.00,20436.00,0.64,0.90
27/04/2018,11769.00,29634.00,41403.00,932625.00,1.26,2719929.00,357948.00,22717.00,218636.00,294474.00,20139.00,0.61,0.89
30/04/2018,12773.00,32644.00,45417.00,934482.00,1.37,2521374.00,357942.00,22649.00,215410.00,291776.00,19918.00,0.60,0.88
01/05/2018,15361.00,35379.00,50740.00,918506.00,1.67,2652028.00,354068.00,22638.00,216709.00,289136.00,19816.00,0.61,0.88
02/05/2018,11675.00,33707.00,45382.00,932786.00,1.25,2609617.00,358036.00,22688.00,217317.00,290956.00,19896.00,0.61,0.88
03/05/2018,9741.00,25696.00,35437.00,935320.00,1.04,2675778.00,359445.00,22686.00,230967.00,304166.00,20480.00,0.64,0.90
04/05/2018,11803.00,31825.00,43628.00,941107.00,1.25,2663559.00,361194.00,22755.00,220776.00,294793.00,20173.00,0.61,0.89
08/05/2018,13966.00,38805.00,52771.00,920813.00,1.52,2506593.00,353989.00,22654.00,207755.00,281289.00,19384.00,0.59,0.86
09/05/2018,9826.00,26619.00,36445.00,879702.00,1.12,2565391.00,336015.00,21359.00,208564.00,279264.00,18899.00,0.62,0.88
10/05/2018,11748.00,30396.00,42144.00,934428.00,1.26,2682049.00,359661.00,22633.00,221536.00,295462.00,20186.00,0.62,0.89
11/05/2018,12525.00,36293.00,48818.00,933924.00,1.34,2638588.00,359453.00,22688.00,212881.00,287121.00,19608.00,0.59,0.86
14/05/2018,11173.00,29250.00,40423.00,919332.00,1.22,2482675.00,352933.00,22552.00,222010.00,291919.00,19773.00,0.63,0.88
15/05/2018,14189.00,37582.00,51771.00,919511.00,1.54,2584728.00,353826.00,22618.00,206947.00,279262.00,19191.00,0.58,0.85
16/05/2018,11847.00,26564.00,38411.00,930055.00,1.27,2589132.00,358184.00,22607.00,231608.00,303837.00,20378.00,0.65,0.90
17/05/2018,10174.00,28844.00,39018.00,931543.00,1.09,2669496.00,358615.00,22617.00,224064.00,297083.00,20234.00,0.62,0.89
18/05/2018,12810.00,35961.00,48771.00,930231.00,1.38,2679518.00,358875.00,22695.00,216592.00,288667.00,19791.00,0.60,0.87
21/05/2018,13628.00,45433.00,59061.00,940017.00,1.45,2485511.00,363490.00,23046.00,217959.00,288145.00,19462.00,0.60,0.84
22/05/2018,14704.00,46697.00,61401.00,939004.00,1.57,2606301.00,363663.00,23105.00,210591.00,282466.00,19205.00,0.58,0.83
23/05/2018,13675.00,41029.00,54704.00,946984.00,1.44,2621820.00,365637.00,23111.00,216321.00,287812.00,19439.00,0.59,0.84
24/05/2018,12019.00,32503.00,44522.00,882738.00,1.36,2685300.00,339706.00,21952.00,209867.00,275148.00,18871.00,0.62,0.86
25/05/2018,16167.00,53920.00,70087.00,934357.00,1.73,2700852.00,360310.00,23481.00,204911.00,273183.00,18871.00,0.57,0.80
29/05/2018,19412.00,63960.00,83372.00,917870.00,2.11,2456238.00,352263.00,23171.00,195097.00,263559.00,18014.00,0.55,0.78
30/05/2018,19417.00,47230.00,66647.00,914695.00,2.12,2549961.00,354179.00,23073.00,204519.00,274113.00,18814.00,0.58,0.82
31/05/2018,17836.00,42070.00,59906.00,929340.00,1.92,2607233.00,358201.00,23154.00,214014.00,281615.00,19356.00,0.60,0.84
01/06/2018,14146.00,44331.00,58477.00,922516.00,1.53,2621878.00,356085.00,23064.00,207983.00,274849.00,18950.00,0.58,0.82
04/06/2018,12141.00,35472.00,47613.00,923838.00,1.31,2337146.00,355460.00,22721.00,224027.00,289412.00,19798.00,0.63,0.87
05/06/2018,14257.00,36701.00,50958.00,922386.00,1.55,2490150.00,356568.00,22763.00,218619.00,287487.00,19722.00,0.61,0.87
06/06/2018,11745.00,38179.00,49924.00,928041.00,1.27,2554067.00,357091.00,22775.00,219682.00,287807.00,19602.00,0.62,0.86
07/06/2018,17148.00,38419.00,55567.00,918213.00,1.87,2597968.00,353333.00,22760.00,220172.00,286048.00,19513.00,0.62,0.86
08/06/2018,11778.00,43846.00,55624.00,931128.00,1.26,2549504.00,357468.00,22811.00,218778.00,285461.00,19287.00,0.61,0.85
11/06/2018,13108.00,35468.00,48576.00,925596.00,1.42,2454130.00,356817.00,22678.00,218129.00,287258.00,19648.00,0.61,0.87
12/06/2018,14141.00,45406.00,59547.00,922917.00,1.53,2475920.00,354165.00,22815.00,217099.00,284594.00,19474.00,0.61,0.85
13/06/2018,11895.00,36134.00,48029.00,920907.00,1.29,2581564.00,355263.00,22734.00,219550.00,289062.00,19731.00,0.62,0.87
14/06/2018,18130.00,49859.00,67989.00,891382.00,2.03,2661595.00,346838.00,22781.00,201129.00,265917.00,18483.00,0.58,0.81
15/06/2018,13386.00,37807.00,51193.00,926996.00,1.44,2646548.00,358117.00,22826.00,216981.00,286651.00,19777.00,0.61,0.87
18/06/2018,13300.00,40969.00,54269.00,914955.00,1.45,2486051.00,351629.00,22611.00,211995.00,278280.00,19147.00,0.60,0.85
19/06/2018,12886.00,40016.00,52902.00,865669.00,1.49,2571510.00,329476.00,21439.00,207007.00,271396.00,18489.00,0.63,0.86
20/06/2018,12604.00,35744.00,48348.00,932820.00,1.35,2603854.00,358075.00,22803.00,220071.00,290596.00,19846.00,0.61,0.87
21/06/2018,11888.00,30008.00,41896.00,868934.00,1.37,2628587.00,333859.00,21445.00,207233.00,272634.00,18765.00,0.62,0.88
22/06/2018,16412.00,40900.00,57312.00,933167.00,1.76,2693853.00,357476.00,22860.00,210608.00,281775.00,19456.00,0.59,0.85
25/06/2018,28287.00,76327.00,104614.00,910003.00,3.11,2518246.00,348708.00,22720.00,173147.00,236444.00,16525.00,0.50,0.73
26/06/2018,25483.00,73926.00,99409.00,909690.00,2.80,2578481.00,349333.00,22833.00,182048.00,246637.00,17323.00,0.52,0.76
27/06/2018,21949.00,51104.00,73053.00,912804.00,2.40,2599348.00,350348.00,22797.00,189204.00,257080.00,17869.00,0.54,0.78
28/06/2018,28485.00,47152.00,75637.00,913075.00,3.12,2677942.00,351347.00,22790.00,195013.00,261749.00,18156.00,0.56,0.80
29/06/2018,19779.00,48641.00,68420.00,923554.00,2.14,2657863.00,353951.00,22860.00,192808.00,263660.00,18460.00,0.54,0.81
02/07/2018,22173.00,56090.00,78263.00,907813.00,2.44,2454127.00,346553.00,22810.00,181834.00,250315.00,17692.00,0.52,0.78
03/07/2018,16447.00,47341.00,63788.00,919076.00,1.79,2557265.00,350083.00,22870.00,194537.00,265983.00,18370.00,0.56,0.80
04/07/2018,20828.00,48016.00,68844.00,912666.00,2.28,2642887.00,350936.00,22923.00,197311.00,267185.00,18791.00,0.56,0.82
05/07/2018,20510.00,60161.00,80671.00,886169.00,2.31,2715949.00,337523.00,22872.00,176648.00,242201.00,17165.00,0.52,0.75
06/07/2018,21043.00,59738.00,80781.00,909003.00,2.31,2674269.00,348278.00,22881.00,178806.00,246440.00,17317.00,0.51,0.76
09/07/2018,16941.00,47093.00,64034.00,905773.00,1.87,2460812.00,351201.00,22822.00,198798.00,266592.00,18728.00,0.57,0.82
10/07/2018,15747.00,38967.00,54714.00,919818.00,1.71,2609741.00,356128.00,22902.00,209074.00,281066.00,19512.00,0.59,0.85
11/07/2018,16743.00,38567.00,55310.00,918978.00,1.82,2556966.00,353275.00,22873.00,206596.00,276270.00,19173.00,0.58,0.84
12/07/2018,15388.00,47088.00,62476.00,920256.00,1.67,2621580.00,353617.00,22881.00,204072.00,273395.00,18894.00,0.58,0.83
13/07/2018,14048.00,37868.00,51916.00,930546.00,1.51,2640048.00,359064.00,22908.00,211135.00,283455.00,19631.00,0.59,0.86
16/07/2018,18421.00,54265.00,72686.00,919076.00,2.00,2423555.00,352686.00,22925.00,201317.00,268976.00,18461.00,0.57,0.81
17/07/2018,15062.00,35192.00,50254.00,931017.00,1.62,2537400.00,357465.00,22983.00,220417.00,290265.00,19940.00,0.62,0.87
18/07/2018,14519.00,48241.00,62760.00,923432.00,1.57,2579112.00,354817.00,22969.00,212123.00,280239.00,19285.00,0.60,0.84
19/07/2018,14938.00,42245.00,57183.00,926046.00,1.61,2597141.00,353925.00,22980.00,212112.00,280569.00,19412.00,0.60,0.84
20/07/2018,11915.00,36080.00,47995.00,930886.00,1.28,2516629.00,357566.00,23018.00,217362.00,287779.00,19926.00,0.61,0.87
23/07/2018,19318.00,48325.00,67643.00,923911.00,2.09,2405606.00,356243.00,22939.00,201872.00,270783.00,18967.00,0.57,0.83
24/07/2018,15927.00,39742.00,55669.00,936267.00,1.70,2476530.00,360023.00,22984.00,215216.00,285391.00,19681.00,0.60,0.86
25/07/2018,15321.00,38874.00,54195.00,938889.00,1.63,2535549.00,361021.00,22988.00,212669.00,285193.00,19656.00,0.59,0.86
26/07/2018,20459.00,54122.00,74581.00,896872.00,2.28,2549815.00,343095.00,22367.00,184247.00,250839.00,17659.00,0.54,0.79
27/07/2018,27372.00,58664.00,86036.00,886781.00,3.09,2501165.00,343017.00,23007.00,182171.00,249555.00,17473.00,0.53,0.76
30/07/2018,14725.00,45905.00,60630.00,931915.00,1.58,2389945.00,359907.00,22968.00,204200.00,274465.00,19071.00,0.57,0.83
31/07/2018,14291.00,40359.00,54650.00,915453.00,1.56,2444376.00,353855.00,22368.00,208714.00,279176.00,19112.00,0.59,0.85
01/08/2018,12595.00,29884.00,42479.00,950243.00,1.33,2539423.00,366642.00,23031.00,226463.00,302157.00,20449.00,0.62,0.89
02/08/2018,17231.00,45436.00,62667.00,941080.00,1.83,2594535.00,363860.00,22998.00,208500.00,280543.00,19344.00,0.57,0.84
03/08/2018,16879.00,51250.00,68129.00,944267.00,1.79,2553378.00,364005.00,23057.00,199913.00,273348.00,18904.00,0.55,0.82
06/08/2018,17747.00,47236.00,64983.00,933505.00,1.90,2391612.00,360749.00,22980.00,202207.00,275686.00,18974.00,0.56,0.83
07/08/2018,16939.00,41678.00,58617.00,946014.00,1.79,2478996.00,366068.00,23082.00,212653.00,287046.00,19540.00,0.58,0.85
08/08/2018,14449.00,42290.00,56739.00,943702.00,1.53,2491986.00,362561.00,23095.00,216713.00,288722.00,19474.00,0.60,0.84
09/08/2018,11779.00,34607.00,46386.00,948769.00,1.24,2619140.00,366344.00,23095.00,219007.00,294799.00,19998.00,0.60,0.87
10/08/2018,17240.00,41619.00,58859.00,945113.00,1.82,2571576.00,365153.00,23133.00,211436.00,283595.00,19528.00,0.58,0.84
13/08/2018,14415.00,41446.00,55861.00,942091.00,1.53,2398332.00,363308.00,23008.00,216560.00,285674.00,19512.00,0.60,0.85
14/08/2018,15179.00,41078.00,56257.00,942745.00,1.61,2481918.00,363839.00,23101.00,217544.00,287857.00,19567.00,0.60,0.85
15/08/2018,14997.00,37163.00,52160.00,946411.00,1.58,2500911.00,365015.00,23112.00,220653.00,293354.00,19827.00,0.60,0.86
16/08/2018,12542.00,37535.00,50077.00,944087.00,1.33,2518238.00,366046.00,23060.00,222316.00,294078.00,20143.00,0.61,0.87
17/08/2018,13898.00,30940.00,44838.00,950010.00,1.46,2542323.00,367483.00,23145.00,224065.00,299446.00,20304.00,0.61,0.88
20/08/2018,12308.00,35711.00,48019.00,947493.00,1.30,2363469.00,364882.00,23028.00,222599.00,295455.00,20111.00,0.61,0.87
21/08/2018,11635.00,28773.00,40408.00,953680.00,1.22,2410889.00,368425.00,23076.00,230815.00,305957.00,20709.00,0.63,0.90
22/08/2018,11350.00,30966.00,42316.00,952176.00,1.19,2477773.00,368653.00,23085.00,225851.00,301183.00,20617.00,0.61,0.89
23/08/2018,14408.00,35894.00,50302.00,943833.00,1.53,2503239.00,364591.00,23094.00,221718.00,293909.00,20129.00,0.61,0.87
24/08/2018,13463.00,39545.00,53008.00,949992.00,1.42,2497828.00,366852.00,23142.00,219696.00,291574.00,19865.00,0.60,0.86
28/08/2018,12240.00,30019.00,42259.00,939565.00,1.30,2377579.00,364350.00,22853.00,233925.00,304536.00,20464.00,0.64,0.90
29/08/2018,14633.00,32771.00,47404.00,937827.00,1.56,2397602.00,364437.00,22851.00,224404.00,296952.00,20276.00,0.62,0.89
30/08/2018,13802.00,34351.00,48153.00,940661.00,1.47,2462594.00,365456.00,22920.00,226078.00,296826.00,20215.00,0.62,0.88
31/08/2018,12863.00,28427.00,41290.00,915160.00,1.41,2451211.00,355121.00,22350.00,222904.00,293454.00,19905.00,0.63,0.89
03/09/2018,14116.00,34761.00,48877.00,950193.00,1.49,2321058.00,368676.00,23001.00,225765.00,299556.00,20246.00,0.61,0.88
04/09/2018,12828.00,34089.00,46917.00,945480.00,1.36,2412903.00,366126.00,23052.00,231627.00,302994.00,20245.00,0.63,0.88
05/09/2018,16069.00,38506.00,54575.00,951098.00,1.69,2429455.00,368876.00,23048.00,219716.00,292857.00,19855.00,0.60,0.86
06/09/2018,12387.00,32602.00,44989.00,953859.00,1.30,2517898.00,370789.00,23056.00,232102.00,305758.00,20289.00,0.63,0.88
07/09/2018,14146.00,32118.00,46264.00,953693.00,1.48,2524222.00,370390.00,23105.00,229672.00,303986.00,20321.00,0.62,0.88
10/09/2018,12758.00,33876.00,46634.00,953024.00,1.34,2378617.00,369992.00,23040.00,227967.00,301602.00,20338.00,0.62,0.88
11/09/2018,13514.00,37200.00,50714.00,955671.00,1.41,2449834.00,370519.00,23076.00,226174.00,300820.00,20224.00,0.61,0.88
